Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	Shimmer_001	
Accel_LN_Z	Accel_LN_Z	Accel_LN_Y	Accel_LN_Y	Timestamp	Timestamp	Accel_LN_X	Accel_LN_X	
UNCAL	CAL	CAL	UNCAL	UNCAL	CAL	CAL	UNCAL	
no_units	m/(s^2)	m/(s^2)	no_units	Ticks	ms	m/(s^2)	no_units	
2358.0	-3.7469879518072293	-24.289156626506024	1299.0	1261608.0	3622501.007080078	9.012048192771084	4063.0	
2362.0	-3.7951807228915664	-24.289156626506024	1302.0	1294376.0	3623501.007080078	8.975903614457831	4063.0	
2320.0	-3.289156626506024	-24.289156626506024	1287.0	1327144.0	3624501.007080078	9.156626506024097	4063.0	
2328.0	-3.385542168674699	-24.289156626506024	1286.0	1359912.0	3625501.007080078	9.168674698795181	4063.0	
2339.0	-3.5180722891566267	-24.289156626506024	1299.0	1392680.0	3626501.007080078	9.012048192771084	4063.0	
2347.0	-3.6144578313253013	-24.289156626506024	1298.0	1425448.0	3627501.007080078	9.024096385542169	4063.0	
2346.0	-3.6024096385542173	-24.30120481927711	1297.0	1458216.0	3628501.007080078	9.036144578313253	4064.0	
2347.0	-3.6144578313253013	-24.27710843373494	1296.0	1490984.0	3629501.007080078	9.048192771084338	4062.0	
2326.0	-3.36144578313253	-24.27710843373494	1290.0	1523752.0	3630501.007080078	9.120481927710843	4062.0	
2339.0	-3.5180722891566267	-24.27710843373494	1294.0	1556520.0	3631501.007080078	9.072289156626507	4062.0	
2343.0	-3.5662650602409642	-24.27710843373494	1293.0	1589288.0	3632501.007080078	9.084337349397591	4062.0	
2347.0	-3.6144578313253013	-24.27710843373494	1296.0	1622056.0	3633501.007080078	9.048192771084338	4062.0	
2345.0	-3.5903614457831328	-24.27710843373494	1296.0	1654824.0	3634501.007080078	9.048192771084338	4062.0	
2345.0	-3.5903614457831328	-24.27710843373494	1296.0	1687592.0	3635501.007080078	9.048192771084338	4062.0	
2347.0	-3.6144578313253013	-24.27710843373494	1296.0	1720360.0	3636501.007080078	9.048192771084338	4062.0	
2255.0	-2.5060240963855422	-24.27710843373494	1265.0	1753128.0	3637501.007080078	9.421686746987952	4062.0	
2306.0	-3.1204819277108435	-24.27710843373494	1282.0	1785896.0	3638501.007080078	9.216867469879519	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1283.0	1818664.0	3639501.007080078	9.204819277108435	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1284.0	1851432.0	3640501.007080078	9.19277108433735	4062.0	
2316.0	-3.240963855421687	-24.289156626506024	1284.0	1884200.0	3641501.007080078	9.19277108433735	4063.0	
2313.0	-3.204819277108434	-24.27710843373494	1283.0	1916968.0	3642501.007080078	9.204819277108435	4062.0	
2314.0	-3.216867469879518	-24.289156626506024	1284.0	1949736.0	3643501.007080078	9.19277108433735	4063.0	
2316.0	-3.240963855421687	-24.289156626506024	1285.0	1982504.0	3644501.007080078	9.180722891566266	4063.0	
2313.0	-3.204819277108434	-24.27710843373494	1282.0	2015272.0	3645501.007080078	9.216867469879519	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1283.0	2048040.0	3646501.007080078	9.204819277108435	4062.0	
2315.0	-3.2289156626506026	-24.289156626506024	1284.0	2080808.0	3647501.007080078	9.19277108433735	4063.0	
2313.0	-3.204819277108434	-24.289156626506024	1284.0	2113576.0	3648501.007080078	9.19277108433735	4063.0	
2314.0	-3.216867469879518	-24.289156626506024	1284.0	2146344.0	3649501.007080078	9.19277108433735	4063.0	
2313.0	-3.204819277108434	-24.27710843373494	1283.0	2179112.0	3650501.007080078	9.204819277108435	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1283.0	2211880.0	3651501.007080078	9.204819277108435	4062.0	
2316.0	-3.240963855421687	-24.27710843373494	1284.0	2244648.0	3652501.007080078	9.19277108433735	4062.0	
2315.0	-3.2289156626506026	-24.289156626506024	1284.0	2277416.0	3653501.007080078	9.19277108433735	4063.0	
2316.0	-3.240963855421687	-24.289156626506024	1283.0	2310184.0	3654501.007080078	9.204819277108435	4063.0	
2314.0	-3.216867469879518	-24.289156626506024	1283.0	2342952.0	3655501.007080078	9.204819277108435	4063.0	
2316.0	-3.240963855421687	-24.289156626506024	1282.0	2375720.0	3656501.007080078	9.216867469879519	4063.0	
2314.0	-3.216867469879518	-24.30120481927711	1283.0	2408488.0	3657501.007080078	9.204819277108435	4064.0	
2314.0	-3.216867469879518	-24.289156626506024	1283.0	2441256.0	3658501.007080078	9.204819277108435	4063.0	
2315.0	-3.2289156626506026	-24.30120481927711	1283.0	2474024.0	3659501.007080078	9.204819277108435	4064.0	
2314.0	-3.216867469879518	-24.289156626506024	1283.0	2506792.0	3660501.007080078	9.204819277108435	4063.0	
2314.0	-3.216867469879518	-24.27710843373494	1285.0	2539560.0	3661501.007080078	9.180722891566266	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1284.0	2572328.0	3662501.007080078	9.19277108433735	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1283.0	2605096.0	3663501.007080078	9.204819277108435	4062.0	
2314.0	-3.216867469879518	-24.27710843373494	1282.0	2637864.0	3664501.007080078	9.216867469879519	4062.0	
2314.0	-3.216867469879518	-24.27710843373494	1283.0	2670632.0	3665501.007080078	9.204819277108435	4062.0	
2314.0	-3.216867469879518	-24.27710843373494	1283.0	2703400.0	3666501.007080078	9.204819277108435	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1284.0	2736168.0	3667501.007080078	9.19277108433735	4062.0	
2313.0	-3.204819277108434	-24.27710843373494	1283.0	2768936.0	3668501.007080078	9.204819277108435	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1284.0	2801704.0	3669501.007080078	9.19277108433735	4062.0	
2314.0	-3.216867469879518	-24.27710843373494	1282.0	2834472.0	3670501.007080078	9.216867469879519	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1283.0	2867240.0	3671501.007080078	9.204819277108435	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1284.0	2900008.0	3672501.007080078	9.19277108433735	4062.0	
2315.0	-3.2289156626506026	-24.27710843373494	1283.0	2932776.0	3673501.007080078	9.204819277108435	4062.0	
2315.0	-3.2289156626506026	-24.289156626506024	1285.0	2965544.0	3674501.007080078	9.180722891566266	4063.0	
